Country,Lat,Long,TotalCases,TotalDeaths,TotalRecovered
Somalia,6.5336451,48.0761719,25,2,2
Syria,35.024819,38.521849,25,2,5
Libya,27.041829,18.030819,25,1,8
Antigua and Barbuda,17.077665328979492,-61.798709869384766,23,2,None
Mozambique,-17.2731990814209,35.5474853515625,21,None,2
Maldives,1.9123070240020752,73.54009246826172,21,None,14
Angola,-12.332923889160156,17.572837829589844,19,2,2
Laos,18.49555778503418,103.76795959472656,19,None,None
Sudan,15.983182,29.949295,19,2,2
Chad,15.36843490600586,18.667133331298828,18,None,9
New Caledonia,-21.32696533203125,165.4899444580078,18,None,1
Mongolia,46.83469009399414,103.06763458251953,17,None,11
Dominica,15.434657096862793,-61.350074768066406,16,None,5
Fiji,-17.83541488647461,177.96334838867188,16,None,None
Namibia,-22.139442443847656,17.221797943115234,16,None,2
Saint Lucia,13.898548126220703,-60.967308044433594,15,None,None
Curaçao,12.192387580871582,-68.97064971923828,14,1,7
Grenada,12.113840103149414,-61.683753967285156,14,None,None
Eswatini,-26.56521987915039,31.498117446899414,14,None,7
Belize,17.20055389404297,-88.70706939697266,14,2,8
Zimbabwe,-19.000457763671875,29.871837615966797,14,3,None
Nepal,28.259138107299805,83.94416046142578,14,None,1
Botswana,-22.18724250793457,23.814544677734375,13,1,None
Malawi,-13.360275268554688,34.29304504394531,13,2,None
Greenland,74.75581359863281,-41.3941650390625,11,None,11
Seychelles,-4.6786580085754395,55.4672966003418,11,None,None
Nicaragua,12.844159,-85.03197,11,1,4
Northern Mariana Islands,15.188824653625488,145.75350952148438,11,2,None
Montserrat,16.739171981811523,-62.18928146362305,11,None,1
Sierra Leone,8.548967361450195,-11.80417537689209,10,None,None
Suriname,4.1390700340271,-55.91132736206055,10,1,4
Cabo Verde,15.08362865447998,-23.624671936035156,8,1,None
Central African Republic,6.57574987411499,20.48409080505371,8,None,None
Vatican City,41.90339660644531,12.452831268310547,8,None,2
Turks and Caicos Islands,21.77568244934082,-71.7576675415039,8,1,None
Mauritania,20.258419036865234,-10.331938743591309,7,1,2
Saint Barthélemy,17.90167236328125,-62.82939147949219,6,None,1
Bhutan,27.416879653930664,90.43476104736328,5,None,2
Falkland Islands,-51.745506286621094,-58.75210952758789,5,None,None
Gambia,13.446971893310547,-15.422768592834473,4,1,2
São Tomé and Príncipe,0.23931099474430084,6.602059841156006,4,None,None
South Sudan,7.283548831939697,30.326135635375977,4,None,None
Burundi,-3.367311954498291,29.8881893157959,3,None,None
British Virgin Islands,18.42353630065918,-64.62605285644531,3,None,None
Anguilla,18.21481704711914,-63.05470275878906,3,None,None
Timor-Leste,-8.797422409057617,125.9454116821289,2,None,None
Papua New Guinea,-6.613677024841309,144.26144409179688,2,None,None
Saba,17.63150978088379,-63.23771286010742,1,None,None
Saint Pierre and Miquelon,46.77901840209961,-56.172569274902344,1,None,None
Yemen,15.934554100036621,47.54685592651367,1,None,None
